"Anything additional, unusual, or interesting to note?",Timestamp,Coder's Initials,Journal Name,Does the journal publish empirical research?,Check the article types page and check for web comments — does the journal offer any type of PPC?,A. Enter the name of the PPC type offered by the journal:,A. Enter the verbatim description of this type of PPC provided by the journal,A. Are there any length limits for this type of PPC?,A. Are there any time limits for submission of this type of PPC?,A. Are there any reference limits for this type of PPC?,A. Is this type of PPC sent for independent external peer review?,"A. Anything additional, unusual, or interesting to note?",A. Are there any other types of PPC in this journal? (Remember to check for web comments!),B. Enter the name of the PPC type offered by the journal:,B. Enter the verbatim description of this type of PPC provided by the journal,B. Are there any length limits for this type of PPC?,B. Are there any time limits for submission of this type of PPC?,B. Are there any reference limits for this type of PPC?,B. Is this type of PPC sent for independent external peer review?,"B. Anything additional, unusual, or interesting to note?",B. Are there any other types of PPC in this journal? (Remember to check for web comments!),C. Enter the name of the PPC type offered by the journal:,C. Enter the verbatim description of this type of PPC provided by the journal,C. Are there any length limits for this type of PPC?,C. Are there any time limits for submission of this type of PPC?,C. Are there any reference limits for this type of PPC?,C. Is this type of PPC sent for independent external peer review?,"C. Anything additional, unusual, or interesting to note?",C. Are there any other types of PPC in this journal? (Remember to check for web comments!),D. Enter the name of the PPC type offered by the journal:,D. Enter the verbatim description of this type of PPC provided by the journal,D. Are there any length limits for this type of PPC?,D. Are there any time limits for submission of this type of PPC?,D. Are there any reference limits for this type of PPC?,D. Is this type of PPC sent for independent external peer review?,"D. Anything additional, unusual, or interesting to note?",...38,...39,...40,...41,...42,...43,...44,...45,sample_id,cope,field,jif
"They solicit commentaries and write that unsolicited commentaries are ""rarely granted"" and must be submitted before print publication: ""Commentaries are not accepted for articles that are already in print.  Unsolicited commentaries may be submitted by authors only while accepted target articles are disseminated online. If submitted later, authors must present a strong rationale for considering a comment beyond the standard time frame. Such requests, however, are rarely granted, and authors should consider other outlets for unsolicited commentaries. Unsolicited commentaries are subject to the regular process of preliminary editorial review after which a commentary, if deemed appropriate, may be sent out for external peer review.  No commentaries are published without external review.""",7/26/2023 7:40:17,RTT,PSYCHOLOGICAL BULLETIN,Yes,NO (explicit statement that PPC is not accepted),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,PSYCHOLOGY - SCIE,23.027
"as commentaries cannot relate to published articles, this does not meet our defintion of PPC",NA,FINAL (TEH),PSYCHOLOGICAL BULLETIN,Yes,NO (explicit statement that PPC is not accepted),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,PSYCHOLOGY - SCIE,23.027
NA,6/30/2023 21:38:42,AW,PSYCHOLOGICAL INQUIRY,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, MULTIDISCIPLINARY",5.581
NA,NA,FINAL (TEH),PSYCHOLOGICAL INQUIRY,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, MULTIDISCIPLINARY",5.581
"Detailed descriptions lacking from article type list, PPC inferred from archive search",6/20/2023 17:45:26,AW,PSYCHOLOGICAL MEDICINE,Yes,YES,Correspondence,Correspondence papers must be in response to content published in Psychological Magazine,"YES (copy and paste the limits in the 'other' section below), 1500 words",NOT STATED,"YES (provide number of references below), max 20",NOT STATED,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,PSYCHOLOGY - SCIE,10.592
NA,8/6/2023 9:49:10,RTT,PSYCHOLOGICAL MEDICINE,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,PSYCHOLOGY - SCIE,10.592
"I may have accidentally coded this journal already, but while looking at the author instructions for another journal in the list. If this journal appears twice, please use this coding as the official one.",8/6/2023 9:58:36,RTT,PSYCHOLOGICAL MEDICINE,Yes,YES,Correspondence,"Correspondence***	1500	No	max 20
APA  style Max 1	No...***Please note, Correspondence papers must be in response to content published in PSM","YES (copy and paste the limits in the 'other' section below), 1500 words (1 table/figure)",NOT STATED,"YES (provide number of references below), 20",NOT STATED,it appears that the journal does not allow supplementary materials for correspondences.,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,PSYCHOLOGY - SCIE,10.592
NA,NA,FINAL (TEH),PSYCHOLOGICAL MEDICINE,Yes,YES,Correspondence,Correspondence papers must be in response to content published in Psychological Magazine,"YES (copy and paste the limits in the 'other' section below), 1500 words",NOT STATED,"YES (provide number of references below), max 20",NOT STATED,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,PSYCHOLOGY - SCIE,10.592
"Article Types infer only solicited submissions accepted, PPC examples found through search, subjective call as peer-initiated.",6/14/2023 12:22:29,AW,PSYCHOLOGICAL METHODS,Yes,YES,Comment,na,NOT STATED,NOT STATED,NOT STATED,NOT STATED,Recent PPC example: https://psycnet.apa.org/doiLanding?doi=10.1037%2Fmet0000415,YES (opens another page),Annotations (web comment),na,"NOT STATED, Entering dummy text appears to have no limit","NOT STATED, Option available on older articles so possible ""NO""",NOT STATED,NOT STATED,hosted by hypothes.is,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, MULTIDISCIPLINARY",10.929
They explicitly accept replications.,8/6/2023 8:37:23,RTT,PSYCHOLOGICAL METHODS,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, MULTIDISCIPLINARY",10.929
NA,NA,FINAL (TEH),PSYCHOLOGICAL METHODS,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, MULTIDISCIPLINARY",10.929
NA,6/29/2023 12:56:29,AW,PSYCHOLOGICAL REVIEW,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,PSYCHOLOGY - SCIE,8.247
NA,NA,FINAL (TEH),PSYCHOLOGICAL REVIEW,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,PSYCHOLOGY - SCIE,8.247
NA,6/20/2023 18:31:39,AW,PSYCHOLOGICAL SCIENCE,Yes,YES,Commentary,"Commentaries use new data or new analyses of existing data to respond to and/or supplement articles previously published in Psychological Science. Although they may target an article published at any time, the Commentary mechanism is most effective when used to address a contemporary publication. The major criteria for a Commentary are that it provides a new empirical perspective through new data or new analyses of existing data and that the new empirical perspective has general theoretical significance. Before submitting a Commentary, authors are required to contact the Editor in Chief with a proposal. Except under special circumstances, for any given article, Psychological Science will consider only a single Commentary. No author may contribute to more than one Commentary on the same target article. Authors are not permitted to write Commentaries on articles on which they are an author or coauthor.","YES (copy and paste the limits in the 'other' section below),  1,000 words (includes main text, notes, acknowledgments, and appendices; does not include 150-word abstract, 150-word Statement of Relevance [see Research Article], cover page, Method and Results sections, or reference list)","NO, Although they may target an article published at any time, the Commentary mechanism is most effective when used to address a contemporary publication","YES (provide number of references below), UNCLEAR (provide detail in the 'other' section below), 20 citations should be sufficient for most Commentaries. However, this is not a hard-and-fast limit, and editors have the flexibility to allow more references if they are necessary to establish the scientific foundation for the work.","YES, Commentary from the lead author of the target article, in addition to reviews by two (or more) independent experts.",Limit of one figure (no more than two panels) or one table,YES (opens another page),Letters to the Editors,"Letters to the Editors provides a less formal (relative to a Commentary) forum for authors to make a comment, express a concern, develop an alternative interpretation, report the outcome of a test for replication, or make some other contribution to scientific exchange over an article published in Psychological Science (see Editor-in-Chief Patricia Bauer’s 2021 Introductory Editorial for more information). Letters to the Editors must be in response to—and make specific reference to—an article published in Psychological Science. They typically should be submitted within 1 year of print publication of the target article, in order to keep the scientific conversation fresh. (An exception to the 1-year time frame is the case of a report of a test for replication, which is likely to require more than 1 year to accomplish.) Although there is not an a priori limit on the number of Letters to the Editors on any given target article, Letters to the Editors that make essentially the same point as another will not be considered, and the editors may limit the total number of Letters to the Editors on any given target article. Except with permission of the editors, no author may contribute (or make authored contribution to) more than one letter on the same target article. Authors are not permitted to write letters on articles on which they are an author or coauthor.","YES (copy and paste the limits in the 'other' section below), 500 words","UNCLEAR (provide detail in the 'other' section below), typically should be submitted within 1 year of print publication of the target article... An exception to the 1-year time frame is the case of a report of a test for replication, which is likely to require more than 1 year to accomplish","YES (copy and paste the limits in the 'other' section below), 10","UNCLEAR (provide detail in the 'other' section below), Solicitation of external review will be the exception rather than the rule","disseminated online only to permit more rapid publication and to keep the discussion responsive and timely. They will not be copyedited. Letters to the Editors will have DOIs, but they will not be indexed (i.e., discoverable through PubMed, PsycInfo, etc.). Letters to the Editors will be linked with the target article to which they refer. To facilitate linkage, the title of each publication in this format will begin “Letter to the Editors of Psychological Science,” followed by a brief original title, followed by “Regarding [insert citation of the target article]” (the title will not count against the 500-word limit).",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, MULTIDISCIPLINARY",10.172
NA,8/6/2023 9:23:54,RTT,PSYCHOLOGICAL SCIENCE,Yes,YES,Commentary,"Commentary. Commentaries use new data or new analyses of existing data to respond to and/or supplement articles previously published in Psychological Science. Although they may target an article published at any time, the Commentary mechanism is most effective when used to address a contemporary publication. The major criteria for a Commentary are that it provides a new empirical perspective through new data or new analyses of existing data and that the new empirical perspective has general theoretical significance. Before submitting a Commentary, authors are required to contact the Editor in Chief with a proposal. Except under special circumstances, for any given article, Psychological Science will consider only a single Commentary. No author may contribute to more than one Commentary on the same target article. Authors are not permitted to write Commentaries on articles on which they are an author or coauthor. Commentaries are limited to 1,000 words (includes main text, notes, acknowledgments, and appendices; does not include 150-word abstract, 150-word Statement of Relevance [see Research Article], cover page, Method and Results sections, or reference list), 20 references, and one figure (no more than two panels) or one table.

References: Authors are encouraged to cite only the sources that bear on the point directly and to refrain from extensive parenthetical lists of related materials, keeping in mind that citations are meant to be supportive and not exhaustive. As a general rule, 20 citations should be sufficient for most Commentaries. However, this is not a hard-and-fast limit, and editors have the flexibility to allow more references if they are necessary to establish the scientific foundation for the work.

The Action Editor typically solicits a signed review of a submitted Commentary from the lead author of the target article, in addition to reviews by two (or more) independent experts. On acceptance of a Commentary, the Action Editor typically will invite the lead author of the target article to submit a Reply to Commentary (see below).","YES (copy and paste the limits in the 'other' section below), 1,000 words","""he Commentary mechanism is most effective when used to address a contemporary publication""","YES (provide number of references below), 20 ""not hard-and-fast limits""",YES,"""The Action Editor typically solicits a signed review of a submitted Commentary from the lead author of the target article, in addition to reviews by two (or more) independent experts""",YES (opens another page),Letters to the Editors,"Letters to the Editors. Letters to the Editors provides a less formal (relative to a Commentary) forum for authors to make a comment, express a concern, develop an alternative interpretation, report the outcome of a test for replication, or make some other contribution to scientific exchange over an article published in Psychological Science (see Editor-in-Chief Patricia Bauer’s 2021 Introductory Editorial for more information). Letters to the Editors must be in response to—and make specific reference to—an article published in Psychological Science. They typically should be submitted within 1 year of print publication of the target article, in order to keep the scientific conversation fresh. (An exception to the 1-year time frame is the case of a report of a test for replication, which is likely to require more than 1 year to accomplish.) Although there is not an a priori limit on the number of Letters to the Editors on any given target article, Letters to the Editors that make essentially the same point as another will not be considered, and the editors may limit the total number of Letters to the Editors on any given target article. Except with permission of the editors, no author may contribute (or make authored contribution to) more than one letter on the same target article. Authors are not permitted to write letters on articles on which they are an author or coauthor. Letters to the Editors are limited to 500 words and 10 references (though references are not required). Letters to the Editors will not have an Abstract, Statement of Relevance, headings, or subheadings; tables and figures are not permitted (authors may provide a link to a repository that provides additional information or data).

In a departure from the typical approach to review of submissions, Letters to the Editors will be reviewed by two members of the editorial team (Editor in Chief, Senior Editors, Associate Editors). Solicitation of external review will be the exception rather than the rule. The major review criterion will be furthering scientific exchange. Authors of articles that are the subject of a Letter to the Editors may reply with a letter of their own, which will undergo the same editorial process.

Letters to the Editors will be disseminated online only to permit more rapid publication and to keep the discussion responsive and timely. They will not be copyedited. Letters to the Editors will have DOIs, but they will not be indexed (i.e., discoverable through PubMed, PsycInfo, etc.). Letters to the Editors will be linked with the target article to which they refer. To facilitate linkage, the title of each publication in this format will begin “Letter to the Editors of Psychological Science,” followed by a brief original title, followed by “Regarding [insert citation of the target article]” (the title will not count against the 500-word limit).","YES (copy and paste the limits in the 'other' section below), 500 words","YES (copy and paste the limits in the 'other' section below), 1-year (except for ""a test of replication"")","YES (copy and paste the limits in the 'other' section below), 10",NO,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, MULTIDISCIPLINARY",10.172
NA,NA,FINAL (TEH),PSYCHOLOGICAL SCIENCE,Yes,YES,Commentary,"Commentary. Commentaries use new data or new analyses of existing data to respond to and/or supplement articles previously published in Psychological Science. Although they may target an article published at any time, the Commentary mechanism is most effective when used to address a contemporary publication. The major criteria for a Commentary are that it provides a new empirical perspective through new data or new analyses of existing data and that the new empirical perspective has general theoretical significance. Before submitting a Commentary, authors are required to contact the Editor in Chief with a proposal. Except under special circumstances, for any given article, Psychological Science will consider only a single Commentary. No author may contribute to more than one Commentary on the same target article. Authors are not permitted to write Commentaries on articles on which they are an author or coauthor. Commentaries are limited to 1,000 words (includes main text, notes, acknowledgments, and appendices; does not include 150-word abstract, 150-word Statement of Relevance [see Research Article], cover page, Method and Results sections, or reference list), 20 references, and one figure (no more than two panels) or one table.

References: Authors are encouraged to cite only the sources that bear on the point directly and to refrain from extensive parenthetical lists of related materials, keeping in mind that citations are meant to be supportive and not exhaustive. As a general rule, 20 citations should be sufficient for most Commentaries. However, this is not a hard-and-fast limit, and editors have the flexibility to allow more references if they are necessary to establish the scientific foundation for the work.

The Action Editor typically solicits a signed review of a submitted Commentary from the lead author of the target article, in addition to reviews by two (or more) independent experts. On acceptance of a Commentary, the Action Editor typically will invite the lead author of the target article to submit a Reply to Commentary (see below).","YES (copy and paste the limits in the 'other' section below), 1,000 words","""he Commentary mechanism is most effective when used to address a contemporary publication""","YES (provide number of references below), 20 ""not hard-and-fast limits""",YES,"""The Action Editor typically solicits a signed review of a submitted Commentary from the lead author of the target article, in addition to reviews by two (or more) independent experts""",YES (opens another page),Letters to the Editors,"Letters to the Editors. Letters to the Editors provides a less formal (relative to a Commentary) forum for authors to make a comment, express a concern, develop an alternative interpretation, report the outcome of a test for replication, or make some other contribution to scientific exchange over an article published in Psychological Science (see Editor-in-Chief Patricia Bauer’s 2021 Introductory Editorial for more information). Letters to the Editors must be in response to—and make specific reference to—an article published in Psychological Science. They typically should be submitted within 1 year of print publication of the target article, in order to keep the scientific conversation fresh. (An exception to the 1-year time frame is the case of a report of a test for replication, which is likely to require more than 1 year to accomplish.) Although there is not an a priori limit on the number of Letters to the Editors on any given target article, Letters to the Editors that make essentially the same point as another will not be considered, and the editors may limit the total number of Letters to the Editors on any given target article. Except with permission of the editors, no author may contribute (or make authored contribution to) more than one letter on the same target article. Authors are not permitted to write letters on articles on which they are an author or coauthor. Letters to the Editors are limited to 500 words and 10 references (though references are not required). Letters to the Editors will not have an Abstract, Statement of Relevance, headings, or subheadings; tables and figures are not permitted (authors may provide a link to a repository that provides additional information or data).

In a departure from the typical approach to review of submissions, Letters to the Editors will be reviewed by two members of the editorial team (Editor in Chief, Senior Editors, Associate Editors). Solicitation of external review will be the exception rather than the rule. The major review criterion will be furthering scientific exchange. Authors of articles that are the subject of a Letter to the Editors may reply with a letter of their own, which will undergo the same editorial process.

Letters to the Editors will be disseminated online only to permit more rapid publication and to keep the discussion responsive and timely. They will not be copyedited. Letters to the Editors will have DOIs, but they will not be indexed (i.e., discoverable through PubMed, PsycInfo, etc.). Letters to the Editors will be linked with the target article to which they refer. To facilitate linkage, the title of each publication in this format will begin “Letter to the Editors of Psychological Science,” followed by a brief original title, followed by “Regarding [insert citation of the target article]” (the title will not count against the 500-word limit).","YES (copy and paste the limits in the 'other' section below), 500 words","YES (copy and paste the limits in the 'other' section below), 1-year (except for ""a test of replication"")","YES (copy and paste the limits in the 'other' section below), 10",NO,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prominent,TRUE,"PSYCHOLOGY, MULTIDISCIPLINARY",10.172
